NumOfProducts,Complain,Complain_With_Low_Satisfaction,Age_Squared_StandardScaled,Age_Tenure_Interaction_MinMaxScaled,Exited
1,1,1,0.14753212176470695,0.09545454545454544,1
1,1,0,0.05950731480224638,0.046590909090909086,0
3,1,0,0.14753212176470695,0.3818181818181818,1
2,0,0,-0.11017906006514748,0.04431818181818182,0
1,0,0,0.23767800841300993,0.09772727272727272,0
2,1,0,0.32994497474715534,0.39999999999999997,1
2,0,0,0.9280894461547187,0.3977272727272727,0
4,1,1,-0.8313461532515714,0.1318181818181818,1
2,0,0,0.32994497474715534,0.19999999999999998,0
1,0,0,-0.9501266156587471,0.06136363636363636,0
2,0,0,-0.704081372101026,0.21136363636363636,0
2,0,0,-1.1123892116256924,0.08181818181818182,0
2,0,0,-0.4972761027313897,0.38636363636363635,0
2,0,0,-1.060422759322553,0.14204545454545453,0
2,0,0,-0.42409885356982613,0.2784090909090909,0
2,0,0,0.4243330207671432,0.1534090909090909,0
1,0,0,1.8443958704386456,0.0659090909090909,1
2,0,0,-1.1123892116256924,0.24545454545454545,0
1,0,0,0.4243330207671432,0.3068181818181818,0
2,0,0,-1.1123892116256924,0.16363636363636364,0
2,0,0,0.05950731480224638,0.3727272727272727,0
2,0,0,-0.6372673619969896,0.2909090909090909,0
1,1,1,-0.19184062797008078,0.17272727272727273,1
2,0,0,0.5208421464729734,0.1568181818181818,0
1,0,0,-0.19184062797008078,0.2159090909090909,0
2,0,0,-1.060422759322553,0.08522727272727272,0
1,0,0,-0.34880052472242007,0.08181818181818182,0
2,0,0,0.32994497474715534,0.44999999999999996,0
1,0,0,0.23767800841300993,0.14659090909090908,0
2,0,0,-0.8313461532515714,0.0,0
3,1,0,-0.11017906006514748,0.13295454545454544,1
1,0,0,-0.34880052472242007,0.2863636363636364,0
2,0,0,0.05950731480224638,0.4193181818181818,0
2,0,0,0.14753212176470695,0.2863636363636364,0
2,0,0,-0.8313461532515714,0.29659090909090907,0
1,1,1,0.4243330207671432,0.0,1
1,0,0,-0.704081372101026,0.10568181818181818,0
1,0,0,-0.5683322722071109,0.2625,0
1,0,0,-0.34880052472242007,0.2863636363636364,0
2,0,0,0.05950731480224638,0.27954545454545454,0
1,0,0,-0.02639641247437176,0.18181818181818182,0
1,1,0,1.035203970289761,0.4636363636363636,1
1,0,0,2.223008594361518,0.13863636363636364,0
1,1,1,0.8230960017055188,0.11136363636363636,1
1,0,0,2.223008594361518,0.34659090909090906,0
2,0,0,-0.6372673619969896,0.14545454545454545,0
1,1,0,-0.9501266156587471,0.2761363636363636,1
1,1,1,-0.11017906006514748,0.39886363636363636,1
1,0,0,-0.19184062797008078,0.08636363636363636,0
2,0,0,-0.27138111618917166,0.08409090909090909,0
2,0,0,0.32994497474715534,0.5,0
2,0,0,-0.34880052472242007,0.20454545454545453,0
2,0,0,-0.5683322722071109,0.1875,0
1,1,0,0.05950731480224638,0.3727272727272727,1
1,1,1,0.14753212176470695,0.04772727272727272,1
1,0,0,0.23767800841300993,0.04886363636363636,0
1,0,0,0.4243330207671432,0.2556818181818182,0
1,0,0,-1.340405277853753,0.0,0
1,1,0,2.8964513946164874,0.3,1
1,0,0,1.035203970289761,0.2318181818181818,0
1,0,0,-0.42409885356982613,0.19886363636363635,0
2,0,0,-0.9501266156587471,0.2761363636363636,0
2,0,0,-0.5683322722071109,0.0375,0
1,0,0,1.6025927862526093,0.509090909090909,0
1,0,0,-1.0063352273335713,0.11818181818181818,0
2,1,0,-0.34880052472242007,0.24545454545454545,0
1,1,0,-0.4972761027313897,0.038636363636363635,0
2,1,0,0.23767800841300993,0.4886363636363636,0
2,1,1,-0.42409885356982613,0.19886363636363635,0
1,0,0,-1.255562090420056,0.1909090909090909,0
4,1,0,1.8443958704386456,0.1318181818181818,1
1,0,0,-0.8313461532515714,0.19772727272727272,0
1,0,0,-0.27138111618917166,0.0,0
2,0,0,-1.060422759322553,0.14204545454545453,0
2,0,0,-0.34880052472242007,0.36818181818181817,0
2,0,0,-1.255562090420056,0.02386363636363636,0
2,0,0,1.4848728636883548,0.5,0
1,0,0,-0.6372673619969896,0.32727272727272727,0
1,0,0,-0.5683322722071109,0.1875,0
2,0,0,0.05950731480224638,0.4659090909090909,0
2,0,0,-0.4972761027313897,0.038636363636363635,0
1,1,0,-0.6372673619969896,0.07272727272727272,1
2,0,0,-0.34880052472242007,0.12272727272727273,0
1,0,0,-0.4972761027313897,0.15454545454545454,0
2,0,0,0.5208421464729734,0.20909090909090908,0
2,0,0,4.242276455283505,0.8522727272727272,0
1,1,1,-1.2099588771744438,0.075,1
2,0,0,-0.7687743025192199,0.3068181818181818,0
3,1,0,0.5208421464729734,0.20909090909090908,1
