holdout_row,v2_probability,v3_probability,probability_delta,v2_prediction,v3_prediction,agreement,category
6176,0.09334439290165568,0.058671554813614545,-0.034672838088041134,0,0,True,both_stay
7072,0.16046526615449572,0.17334148772015298,0.012876221565657264,0,0,True,both_stay
877,0.0805453882798411,0.0856724739128596,0.005127085633018502,0,0,True,both_stay
6539,0.17414549205135876,0.17111485101910043,-0.0030306410322583355,0,0,True,both_stay
5190,0.047433451801344596,0.04834757542344472,0.0009141236221001242,0,0,True,both_stay
9727,0.5350257435253731,0.4805019210319698,-0.05452382249340332,1,1,True,both_churn
6561,0.5319636606197623,0.5948180021433646,0.06285434152360225,1,1,True,both_churn
4711,0.19440592525735878,0.2253358614700135,0.03092993621265472,0,0,True,both_stay
9099,0.0330877424245932,0.03375654168595593,0.0006687992613627347,0,0,True,both_stay
5975,0.11465873730830876,0.11845085754906393,0.003792120240755162,0,0,True,both_stay
3425,0.1225138873175099,0.11326525776793951,-0.009248629549570384,0,0,True,both_stay
1033,0.01618594695729026,0.0311949603247073,0.01500901336741704,0,0,True,both_stay
8993,0.12661335650598407,0.15201269953988472,0.02539934303390065,0,0,True,both_stay
4378,0.025090996871650662,0.08496975256194439,0.05987875569029373,0,0,True,both_stay
2016,0.12980561944883942,0.11759146541358267,-0.012214154035256747,0,0,True,both_stay
2560,0.13968880535364206,0.1187566463879195,-0.020932158965722564,0,0,True,both_stay
1346,0.13972863089152257,0.12116023679949366,-0.018568394092028914,0,0,True,both_stay
1470,0.02095633139432192,0.03245570446998055,0.011499373075658629,0,0,True,both_stay
8099,0.05932306106718743,0.05808439365528013,-0.0012386674119073057,0,0,True,both_stay
316,0.6236476733457953,0.6150791781722019,-0.008568495173593371,1,1,True,both_churn
1617,0.07105626304329818,0.07577579404708583,0.00471953100378765,0,0,True,both_stay
3720,0.04300675618834556,0.07636941666097548,0.03336266047262992,0,0,True,both_stay
7610,0.15810694811647924,0.1566070838658507,-0.0014998642506285353,0,0,True,both_stay
1642,0.7653708662204131,0.5735014249405208,-0.19186944127989225,1,1,True,both_churn
6527,0.1616148848222753,0.1883159442387051,0.026701059416429807,0,0,True,both_stay
704,0.046770799322171264,0.049098654186057765,0.0023278548638865013,0,0,True,both_stay
5412,0.6319403837808981,0.6150791781722019,-0.016861205608696195,1,1,True,both_churn
6123,0.03819887304489268,0.036856695544953265,-0.0013421774999394162,0,0,True,both_stay
5285,0.7309938376930947,0.6589034519829643,-0.07209038571013038,1,1,True,both_churn
6303,0.6625610596855886,0.6165114970822818,-0.04604956260330684,1,1,True,both_churn
9111,0.07269151643657014,0.0766786327232904,0.0039871162867202575,0,0,True,both_stay
8502,0.06949956962557091,0.05749903209249039,-0.012000537533080523,0,0,True,both_stay
6532,0.7431178373321233,0.7789895231335447,0.035871685801421416,1,1,True,both_churn
8473,0.03819887304489268,0.036856695544953265,-0.0013421774999394162,0,0,True,both_stay
3317,0.030561081654846736,0.08601026610673716,0.055449184451890426,0,0,True,both_stay
149,0.07966825697309962,0.045802191552486764,-0.03386606542061286,0,0,True,both_stay
9279,0.1838585689368207,0.21916464070336636,0.035306071766545655,0,0,True,both_stay
152,0.07954485924408716,0.08535307226082499,0.005808213016737826,0,0,True,both_stay
4208,0.41612188493148144,0.40410723004257604,-0.012014654888905407,0,1,False,v2_stay_v3_churn
8184,0.675580344998216,0.6223937558908773,-0.053186589107338644,1,1,True,both_churn
3218,0.028341853971661595,0.046756268062713484,0.01841441409105189,0,0,True,both_stay
8708,0.22156300688201333,0.2524152395956186,0.030852232713605293,0,0,True,both_stay
6622,0.3818426899874508,0.3845950414369174,0.002752351449466617,0,1,False,v2_stay_v3_churn
435,0.6748038657674985,0.6257045553887892,-0.04909931037870929,1,1,True,both_churn
8243,0.03307849716705798,0.034485665055916145,0.0014071678888581685,0,0,True,both_stay
8819,0.08866780383895334,0.1559681898277924,0.06730038598883906,0,0,True,both_stay
7240,0.11255996544866254,0.12499054049648402,0.012430575047821482,0,0,True,both_stay
1489,0.19450120660742545,0.22473171094064717,0.03023050433322172,0,0,True,both_stay
2276,0.2108114910578615,0.22886417433367137,0.01805268327580986,0,0,True,both_stay
6465,0.03281707966926913,0.034365193858633646,0.0015481141893645134,0,0,True,both_stay
5061,0.07445734352726478,0.08850271120268587,0.014045367675421083,0,0,True,both_stay
2428,0.2618765062393236,0.2531622992301191,-0.0087142070092045,0,0,True,both_stay
8752,0.13972863089152257,0.12116023679949366,-0.018568394092028914,0,0,True,both_stay
9533,0.45767243827348036,0.4709145415971204,0.013242103323640009,0,1,False,v2_stay_v3_churn
6595,0.02684556225778171,0.03811031937060689,0.01126475711282518,0,0,True,both_stay
7023,0.035515555892097365,0.03326136480614042,-0.0022541910859569456,0,0,True,both_stay
6372,0.10475047144033614,0.20306405070549435,0.09831357926515821,0,0,True,both_stay
6945,0.1421473548886631,0.12486050194641239,-0.0172868529422507,0,0,True,both_stay
7296,0.17056317853794206,0.17334148772015298,0.0027783091822109196,0,0,True,both_stay
2061,0.060348413204375735,0.058671554813614545,-0.0016768583907611906,0,0,True,both_stay
3969,0.09597570292513682,0.10050229614904514,0.004526593223908318,0,0,True,both_stay
5103,0.5300038518271933,0.5735014249405208,0.04349757311332747,1,1,True,both_churn
3438,0.02799388192797421,0.034485665055916145,0.006491783127941936,0,0,True,both_stay
5441,0.07018297068511033,0.09789140349841186,0.02770843281330153,0,0,True,both_stay
9773,0.047433451801344596,0.04815018744342672,0.0007167356420821266,0,0,True,both_stay
8661,0.1565340075306468,0.15607844720726496,-0.0004555603233818428,0,0,True,both_stay
4448,0.07348495633674279,0.0788029233524963,0.005317967015753516,0,0,True,both_stay
4648,0.2404118719211435,0.2538409936741715,0.013429121753028017,0,0,True,both_stay
4040,0.17056317853794206,0.17334148772015298,0.0027783091822109196,0,0,True,both_stay
5327,0.025180988709280202,0.03184007717390741,0.006659088464627209,0,0,True,both_stay
975,0.15440486522949481,0.1559681898277924,0.001563324598297583,0,0,True,both_stay
3444,0.11070467807335511,0.11326525776793951,0.0025605796945843973,0,0,True,both_stay
182,0.17414549205135876,0.17111485101910043,-0.0030306410322583355,0,0,True,both_stay
507,0.2731850415732421,0.25079254806516393,-0.02239249350807815,0,0,True,both_stay
